360	E5_DELTA	51.351	74	36	0	54	127	1	74	1.93e-16	60.5
360	RS8	30.189	53	25	3	5	52	23	68	0.28	20.8
816	RS36	46.154	13	7	0	1	13	85	97	0.076	18.9
816	RS73	41.667	12	7	0	8	19	55	66	0.23	17.3
169	RS67	62.500	8	3	0	9	16	8	15	0.21	17.3
169	RS31	66.667	6	2	0	14	19	30	35	0.62	16.2
169	RS86	46.154	13	5	1	8	20	11	21	1.2	15.4
235	E5_GAMMA	75.824	91	22	0	4	94	3	93	3.96e-19	66.6
235	E5_EPSILON	41.176	34	20	0	58	91	2	35	0.002	25.4
235	RS9	26.667	30	22	0	59	88	1	30	0.011	24.3
781	RS61	53.846	13	6	0	11	23	82	94	0.97	18.1
