6	RS8	41.667	12	7	0	10	21	25	36	4.1	14.2
6	RS55	41.667	12	7	0	1	12	10	21	4.2	14.2
6	RS72	44.444	9	5	0	5	13	70	78	9.9	13.5
81	RS90	44.444	27	13	1	8	34	73	97	0.17	18.9
81	E5_EPSILON	50.000	10	5	0	3	12	25	34	1.6	16.2
81	RS83	31.250	16	11	0	21	36	2	17	4.0	15.4
81	RS80	50.000	8	4	0	30	37	32	39	4.3	15.4
81	RS2	21.053	19	15	0	16	34	41	59	7.4	14.6
81	RS29	43.750	16	8	1	11	26	83	97	9.5	14.2
369	RS57	53.846	13	6	0	15	27	76	88	0.18	18.5
369	RS78	50.000	6	3	0	4	9	56	61	1.1	16.2
369	RS90	40.000	15	9	0	3	17	66	80	1.5	15.8
369	RS77	33.333	15	10	0	1	15	49	63	7.5	14.2
369	RS69	41.667	12	7	0	5	16	36	47	9.2	13.9
19	RS92	27.273	11	8	0	3	13	87	97	1.0	15.4
154	E5_ALPHA	40.506	79	46	1	15	92	1	79	3.65e-15	56.6
154	E5_EPSILON	33.333	33	22	0	60	92	1	33	0.13	20.4
154	E5_EPSILON	45.455	22	12	0	23	44	9	30	1.1	17.7
154	RS28	28.571	35	15	1	9	33	34	68	0.94	18.9
154	RS92	26.471	34	25	0	10	43	64	97	3.7	16.9
154	RS59	28.000	25	18	0	1	25	75	99	4.8	16.5
154	RS76	41.176	17	10	0	74	90	57	73	5.4	16.5
481	RS86	37.037	27	17	0	34	60	56	82	0.43	19.6
481	RS59	38.889	18	11	0	57	74	53	70	3.1	17.3
2	RS60	28.000	25	18	0	38	62	76	100	4.8	15.8
2	RS73	26.667	15	11	0	6	20	49	63	5.4	15.8
2	RS65	46.154	13	7	0	25	37	25	37	7.4	15.4
2	RS96	25.714	35	19	1	3	30	66	100	9.4	15.0
416	E5_EPSILON	80.000	5	1	0	2	6	29	33	8.7	12.7
581	RS79	50.000	14	7	0	4	17	87	100	0.84	17.7
581	RS46	28.125	32	20	1	1	29	42	73	2.9	16.2
581	RS29	21.053	19	15	0	35	53	5	23	6.9	15.4
